x,y,z
31855000,-73665840.0,11679266.0
31995714,-73607840.0,11555742.0
32173190,-73485440.0,11774000.0
32225836,-73452952.0,11804023.0
32224634,-73452000.0,11813704.0
32277756,-73413360.0,11839472.0
32855000,-73008496.0,12075927.0
33415348,-72567216.0,12055136.0
33606956,-72452000.0,11862462.0
33680008,-72365560.0,11980412.0
33855000,-72225968.0,11980412.0
34010980,-72161920.0,11774000.0
34855000,-71642040.0,11212566.0
35062084,-71558112.0,10774000.0
35301920,-71452000.0,10334889.0
35551688,-71178216.0,10774000.0
35855000,-70738920.0,11721297.0
35913712,-70698528.0,11668594.0
36189888,-70452000.0,11668594.0
36505432,-70305696.0,10984888.0
36578540,-70277656.0,10774000.0
36784936,-70145496.0,10434906.0
36836548,-70246552.0,9774000.0
36848912,-70248904.0,9674263.0
36834804,-70407368.0,8774000.0
36844368,-70452000.0,8435419.0
36656432,-70613128.0,8445397.0
36773960,-70614136.0,7855040.5
36762896,-70633288.0,7774000.0
35855000,-71431296.0,6946239.5
35853776,-71441472.0,6774000.0
35855000,-71441456.0,6758911.0
35865088,-71442120.0,6641196.5
36289676,-71162504.0,5774000.0
36262276,-71185216.0,5131743.5
36145020,-71280136.0,4774000.0
35933064,-71452000.0,4013523.8
35926260,-71456232.0,3864590.5
35924944,-71457096.0,3774000.0
35867888,-71463480.0,3015995.5
35866160,-71455504.0,2774000.0
35855000,-71458192.0,2670615.2
35832452,-71456544.0,2219865.8
35540324,-71647400.0,1774000.0
35387468,-71707656.0,1147681.9
35347468,-71700928.0,774000.0
35272956,-71706816.0,204690.83
35252652,-71680312.0,-226000.0
35190100,-71655384.0,-817703.75
35172628,-71617616.0,-1226000.0
35126440,-71565144.0,-1925994.2
35124536,-71529216.0,-2226000.0
35000424,-71500384.0,-3034925.8
34998788,-71475296.0,-3226000.0
34855000,-71484248.0,-3812740.0
34823588,-71483832.0,-3952498.0
34524272,-71599224.0,-4226000.0
34306040,-71630848.0,-4860965.0
34353204,-71557304.0,-5226000.0
34252656,-71487424.0,-6125551.5
34257296,-71471104.0,-6226000.0
34187324,-71452000.0,-6574318.5
34287568,-71326304.0,-6875991.5
34855000,-70943512.0,-6933692.0
34992092,-70884432.0,-6551246.0
35116980,-70835216.0,-6226000.0
35214468,-70816896.0,-5777646.5
35663092,-70452000.0,-5504439.0
35808272,-70376296.0,-5360127.0
35855000,-70345768.0,-5360127.0
35985840,-70287424.0,-5226000.0
36855000,-69882952.0,-4398298.5
37219300,-69497624.0,-5226000.0
37258600,-69452000.0,-5343824.0
37580624,-69109352.0,-5591404.5
37855000,-68785264.0,-5862804.0
38015840,-68619088.0,-5862804.0
38143180,-68452000.0,-6044402.0
38753540,-68062824.0,-5226000.0
38855000,-68013112.0,-4946865.0
39060576,-67761448.0,-5226000.0
39296244,-67452000.0,-5702164.0
39436172,-67244504.0,-5893850.0
39671372,-66871184.0,-6226000.0
39844052,-66581016.0,-6504046.0
39844052,-66452000.0,-7038644.0
39855000,-66443968.0,-7014591.5
39985112,-66443968.0,-6411364.0
40291732,-66178428.0,-6226000.0
40390424,-66144992.0,-5778884.5
40772228,-65850700.0,-5226000.0
40855000,-65802728.0,-4958752.5
41000944,-65635124.0,-4821918.0
41168660,-65452000.0,-4583895.0
41289460,-65143604.0,-5226000.0
41628200,-64452000.0,-6032827.0
41681892,-64401632.0,-5925508.5
41855000,-64190768.0,-5925508.5
41940052,-64072180.0,-6226000.0
41935760,-64049972.0,-6369987.5
42108196,-63732784.0,-7226000.0
42061724,-63657176.0,-7825134.5
42088344,-63552848.0,-8226000.0
41930280,-63452000.0,-9145494.0
41931336,-63421760.0,-9226000.0
41933380,-63405352.0,-9272649.0
41924320,-63340996.0,-9481231.0
41855000,-63424356.0,-9481231.0
41753716,-63335804.0,-10226000.0
41626912,-63331792.0,-10743290.0
41855000,-62863116.0,-11133142.0
41958168,-62706020.0,-11226000.0
42108160,-62452000.0,-11402017.0
42108160,-62442840.0,-11428499.0
42298228,-62311284.0,-11226000.0
42422688,-62288632.0,-10859367.0
42754132,-62126100.0,-10226000.0
42823028,-62301076.0,-9311145.0
42847592,-62296264.0,-9226000.0
42855000,-62344164.0,-9020477.0
43102836,-61984248.0,-9226000.0
43446104,-61452000.0,-9619050.0
43388732,-61393656.0,-10071339.0
43428804,-61288880.0,-10226000.0
43522504,-60961356.0,-10716644.0
43618420,-60638336.0,-11226000.0
43686368,-60452000.0,-11445842.0
43842324,-60350376.0,-11226000.0
43855000,-60341084.0,-11212159.0
43865184,-60341084.0,-11185789.0
44742044,-59822608.0,-10226000.0
44696176,-60081616.0,-9438700.0
44806804,-60032676.0,-9226000.0
44855000,-60052432.0,-8954308.0
45065920,-59748156.0,-9226000.0
45228560,-59452000.0,-9650395.0
45246288,-59326052.0,-10017719.0
45316440,-59157804.0,-10226000.0
45021672,-59433164.0,-10504945.0
45008764,-59452000.0,-10494420.0
44855000,-59668632.0,-10355665.0
44848620,-59682704.0,-10333284.0
43880840,-60312140.0,-11226000.0
43893620,-60281816.0,-11287759.0
44248960,-59657560.0,-12226000.0
44029828,-59554492.0,-13041525.0
44046296,-59471324.0,-13226000.0
44020672,-59452000.0,-13327796.0
43855000,-59336652.0,-13949353.0
43769128,-59317332.0,-14226000.0
43655640,-59298856.0,-14563804.0
43855000,-58970828.0,-14696470.0
44002080,-58714400.0,-14884659.0
44240164,-58452000.0,-14884659.0
44678812,-58302856.0,-14226000.0
44657760,-58452000.0,-13939676.0
44855000,-58542236.0,-13233965.0
44856996,-58543432.0,-13226000.0
44867344,-58906120.0,-12425763.0
44974576,-58845656.0,-12226000.0
45046240,-58927672.0,-11715887.0
45516764,-58452000.0,-11334177.0
45747852,-58237104.0,-11226000.0
45855000,-58144152.0,-11158523.0
45856132,-58144152.0,-11155813.0
46663532,-57665760.0,-10226000.0
46563460,-57966284.0,-9522315.0
46753544,-57870536.0,-9226000.0
46855000,-57889612.0,-8748952.0
46987588,-57733304.0,-8739122.0
47202688,-57452000.0,-8831617.0
47245152,-57271460.0,-9226000.0
47294444,-57060424.0,-9617577.0
47295560,-56851688.0,-10226000.0
47349760,-56452000.0,-11022321.0
47406636,-56382900.0,-11022321.0
47855000,-55927292.0,-10723700.0
47946372,-55653996.0,-11226000.0
47855000,-55562772.0,-11657409.0
47789020,-55452000.0,-12116731.0
47760544,-55440072.0,-12226000.0
47493880,-55430948.0,-13064830.0
47585236,-55220352.0,-13226000.0
47740392,-54560616.0,-13939861.0
47855000,-54560616.0,-13648677.0
47921032,-54452000.0,-13699503.0
47921032,-54287336.0,-14025703.0
48624032,-53904668.0,-13226000.0
48855000,-54047380.0,-12264745.0
48856580,-54055536.0,-12241002.0
48865628,-54047808.0,-12226000.0
48855000,-54086136.0,-12175521.0
48811880,-54452000.0,-11456579.0
48855000,-54462952.0,-11290635.0
48866756,-54473272.0,-11226000.0
48867544,-54675704.0,-10764136.0
49084736,-54515376.0,-10226000.0
49092140,-54537808.0,-10123164.0
49154980,-54452000.0,-10056978.0
49245976,-54256884.0,-10226000.0
49204404,-54233112.0,-10444887.0
49265600,-53836976.0,-11226000.0
49383140,-53452000.0,-11691686.0
49496040,-52965148.0,-12226000.0
49525056,-52452000.0,-13046885.0
49540984,-52430652.0,-13046885.0
49855000,-52088512.0,-12812347.0
50053440,-51718652.0,-13226000.0
49997356,-51452000.0,-13919809.0
49855000,-51451804.0,-14225042.0
49854740,-51451684.0,-14226000.0
49699840,-51451652.0,-14702137.0
49855000,-51102972.0,-14904480.0
50241556,-50502096.0,-15175871.0
50284404,-50452000.0,-15175871.0
50795996,-50350956.0,-14226000.0
50791292,-50452000.0,-14020403.0
50855000,-50742552.0,-13323709.0
50870424,-50764224.0,-13226000.0
50904972,-51025096.0,-12521080.0
51237968,-50452000.0,-12370565.0
51399444,-49736104.0,-13226000.0
51465060,-49452000.0,-13562951.0
51666248,-49266592.0,-13226000.0
51855000,-49222044.0,-12606864.0
51972512,-49096152.0,-12529733.0
52459752,-48452000.0,-12477478.0
52619116,-48331796.0,-12226000.0
52855000,-48301584.0,-11425995.0
52917564,-48233456.0,-11380534.0
53501660,-47452000.0,-11293380.0
53542136,-47418288.0,-11226000.0
53653132,-47393232.0,-10827037.0
53843432,-47321468.0,-10226000.0
53842408,-47452000.0,-9822933.0
53855000,-47539872.0,-9516295.0
53876472,-47611900.0,-9226000.0
53915752,-47726672.0,-8674910.0
54155236,-47452000.0,-8455404.0
54364420,-46866744.0,-9226000.0
