x,y,z,Nx,Ny,Nz,Ex,Ey,Ez,id,near
2.778456810000000149e+07,-5.608455010000000149e+07,-3.822600000000000000e+07,9.017379176439300759e-01,-2.764435097620607240e-01,-3.323367475823615358e-01,6.830560509115457535e-03,-5.786743015050888062e-03,-6.689209956675767899e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.778265680000000075e+07,-5.651013289999999851e+07,-3.779532039999999851e+07,8.989468753254760136e-01,-1.123256903418600183e-01,-4.234116845716323629e-01,6.786341313272714615e-03,-5.453435704112052917e-03,-6.155736278742551804e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.936457609999999776e+07,-5.415413710000000149e+07,-3.822600000000000000e+07,7.100904169120150211e-01,-7.036098655246231237e-01,2.654725873122183027e-02,7.265869528055191040e-03,-5.488773342221975327e-03,-6.992131937295198441e-03,1.000000000000000000e+00,0.000000000000000000e+00
2.952257689999999851e+07,-5.399486209999999404e+07,-3.818395139999999851e+07,7.112815349372928475e-01,-7.021813873591166155e-01,3.193551790209406271e-02,7.336591370403766632e-03,-4.900494590401649475e-03,-6.672698538750410080e-03,1.000000000000000000e+00,0.000000000000000000e+00
2.979780410000000149e+07,-5.370944130000000447e+07,-3.816738680000000447e+07,7.145164595880653113e-01,-6.987256538315772536e-01,3.533680312891093744e-02,7.336591370403766632e-03,-4.900494590401649475e-03,-6.672698538750410080e-03,1.000000000000000000e+00,0.000000000000000000e+00
3.230415550000000000e+07,-4.979127629999999702e+07,-3.822600000000000000e+07,2.979596285842384673e-01,-6.904867106524958942e-01,-6.591268179540558103e-01,8.249106816947460175e-03,-4.148702137172222137e-03,-6.810045335441827774e-03,2.000000000000000000e+00,0.000000000000000000e+00
3.235958319999999925e+07,-4.989894620000000298e+07,-3.806290239999999851e+07,3.065383473961083016e-01,-6.763749777912749783e-01,-6.697395993918197066e-01,8.249106816947460175e-03,-4.148702137172222137e-03,-6.810045335441827774e-03,2.000000000000000000e+00,0.000000000000000000e+00
3.280045639999999851e+07,-4.989894620000000298e+07,-3.806290239999999851e+07,2.684002040339652506e-01,-7.257368485462626362e-01,-6.334566734486778428e-01,8.249106816947460175e-03,-4.148702137172222137e-03,-6.810045335441827774e-03,2.000000000000000000e+00,0.000000000000000000e+00
3.337066089999999851e+07,-4.989894620000000298e+07,-3.806290239999999851e+07,4.840593597878238286e-01,-5.472642675753259800e-01,-6.827798749502245190e-01,8.210234344005584717e-03,-4.586522933095693588e-03,-7.301569916307926178e-03,2.000000000000000000e+00,0.000000000000000000e+00
3.367519470000000298e+07,-4.986072020000000298e+07,-3.779532039999999851e+07,6.289062065613560959e-01,-6.429970109148659407e-01,-4.370718788748056416e-01,8.249177597463130951e-03,-4.458315204828977585e-03,-6.734765134751796722e-03,2.000000000000000000e+00,0.000000000000000000e+00
3.367519470000000298e+07,-4.986072020000000298e+07,-3.743790729999999702e+07,7.343606151496073764e-01,-6.074062870808666359e-01,-3.029390851833518306e-01,8.249177597463130951e-03,-4.458315204828977585e-03,-6.734765134751796722e-03,2.000000000000000000e+00,0.000000000000000000e+00
3.367519470000000298e+07,-4.986072020000000298e+07,-3.678742820000000298e+07,7.598682278073533025e-01,-5.849537209732901255e-01,-2.836008122139540011e-01,7.727462332695722580e-03,-3.777075558900833130e-03,-5.881797987967729568e-03,2.000000000000000000e+00,0.000000000000000000e+00
3.337066089999999851e+07,-5.028248039999999851e+07,-3.667020179999999702e+07,6.998496217174220435e-01,-6.444744703221361171e-01,-3.079986429921134916e-01,8.086907677352428436e-03,-4.610203206539154053e-03,-6.573887541890144348e-03,2.000000000000000000e+00,0.000000000000000000e+00
3.624334479999999702e+07,-4.387134310000000149e+07,-3.822600000000000000e+07,5.097162535639412351e-01,-6.065779870703211785e-01,-6.101249760946171330e-01,8.761128410696983337e-03,-3.482665168121457100e-03,-7.265649270266294479e-03,3.000000000000000000e+00,0.000000000000000000e+00
3.627583689999999851e+07,-4.403890039999999851e+07,-3.802722479999999702e+07,5.260562588343339341e-01,-5.997145934460678118e-01,-6.029985231731848083e-01,8.842681534588336945e-03,-4.045382607728242874e-03,-7.724619936197996140e-03,3.000000000000000000e+00,0.000000000000000000e+00
3.593180289999999851e+07,-4.416950589999999851e+07,-3.822600000000000000e+07,8.871910609451628682e-01,-3.239768444413080317e-01,-3.285285766030845434e-01,8.366510272026062012e-03,-3.270044922828674316e-03,-6.714074406772851944e-03,3.000000000000000000e+00,0.000000000000000000e+00
4.148412939999999851e+07,-3.209008990000000224e+07,-3.822600000000000000e+07,7.164703685366901054e-01,-6.976103588355133667e-01,3.162001626464490747e-03,7.936056703329086304e-03,-1.923739095218479633e-03,-6.942083593457937241e-03,4.000000000000000000e+00,0.000000000000000000e+00
4.161600910000000149e+07,-3.195502469999999925e+07,-3.811960429999999702e+07,7.170201220653869001e-01,-6.970401186639945124e-01,4.149400706393290353e-03,7.471776101738214493e-03,-1.248690532520413399e-03,-6.046104710549116135e-03,4.000000000000000000e+00,0.000000000000000000e+00
4.193583329999999702e+07,-3.162373270000000298e+07,-3.812597530000000447e+07,7.183110851875353919e-01,-6.957010510294557859e-01,5.406708168177315477e-03,7.471776101738214493e-03,-1.248690532520413399e-03,-6.046104710549116135e-03,4.000000000000000000e+00,0.000000000000000000e+00
4.355088179999999702e+07,-3.002588590000000224e+07,-3.779532039999999851e+07,6.118430851694953709e-01,-5.310907405788737323e-01,-5.861660723733991274e-01,8.329105563461780548e-03,-1.035195076838135719e-03,-5.916415248066186905e-03,5.000000000000000000e+00,0.000000000000000000e+00
