"vg_dBN_dL","Normals:0","Normals:1","Normals:2","vg_J_magnitude","conn_component","RegionId","Points:0","Points:1","Points:2"
4.4894e-07,-0.85619,0.26248,0.31555,2.4995e-09,100,0,4.3611,-8.8031,-6
4.2787e-07,-0.86905,0.10859,0.40933,2.4641e-09,100,0,4.3608,-8.8699,-5.9324
4.3167e-07,-0.71003,0.70355,-0.026545,1.9033e-09,101,1,4.6091,-8.5001,-6
4.3494e-07,-0.71127,0.70217,-0.031935,1.9532e-09,101,1,4.6339,-8.4751,-5.9934
4.4904e-07,-0.71448,0.69869,-0.035335,1.9544e-09,101,1,4.6771,-8.4303,-5.9908
3.6159e-07,-0.29321,0.67948,0.64862,2.0169e-09,102,2,5.0705,-7.8153,-6
3.5432e-07,-0.30398,0.67073,0.66415,1.9954e-09,102,2,5.0792,-7.8322,-5.9744
3.5432e-07,-0.2668,0.72141,0.62968,1.9954e-09,102,2,5.1484,-7.8322,-5.9744
3.5432e-07,-0.46993,0.53129,0.66285,1.9954e-09,102,2,5.2379,-7.8322,-5.9744
3.7331e-07,-0.61191,0.62562,0.42526,2.1416e-09,102,2,5.2857,-7.8262,-5.9324
3.7331e-07,-0.73046,0.60418,0.30133,2.1416e-09,102,2,5.2857,-7.8262,-5.8763
3.7331e-07,-0.75507,0.58126,0.28181,2.1416e-09,102,2,5.2857,-7.8262,-5.7742
3.39e-07,-0.68247,0.62847,0.30035,1.894e-09,102,2,5.2379,-7.8924,-5.7558
4.6658e-07,-0.47566,0.56605,0.56936,1.6931e-09,33,3,5.6888,-6.8861,-6
4.629e-07,-0.503,0.57343,0.57657,1.5995e-09,33,3,5.6939,-6.9124,-5.9688
4.7448e-07,-0.84982,0.31033,0.31469,1.5245e-09,33,3,5.6399,-6.9329,-6
1.0057e-06,-0.71647,0.69761,-0.003162,1.1045e-09,103,4,6.5114,-5.0369,-6
1.091e-06,-0.71702,0.69704,-0.0041494,1.1406e-09,103,4,6.5321,-5.0157,-5.9833
1.0494e-06,-0.71831,0.6957,-0.0054067,1.2064e-09,103,4,6.5823,-4.9637,-5.9843
1.069e-06,-0.60834,0.52805,0.58281,7.9835e-10,104,5,6.8358,-4.7129,-5.9324
1.0643e-06,-0.62773,0.45891,0.60138,8.6275e-10,104,5,6.8252,-4.7018,-5.9546
1.1701e-06,-0.72109,0.0080789,0.69279,8.5657e-10,105,6,6.891,-4.3514,-5.941
1.1793e-06,-0.7211,0.0081304,0.69278,8.3395e-10,105,6,6.8993,-4.3414,-5.9324
1.1347e-06,-0.7207,0.0067859,0.69321,9.3692e-10,105,6,6.8336,-4.3972,-6
1.1547e-06,-0.94968,-0.097472,0.14518,9.1637e-10,113,7,7.2179,4.0583,-5.9324
1.1508e-06,-0.98499,-0.066438,0.034282,9.7698e-10,113,7,7.2185,4.0182,-5.9457
9.2771e-07,-0.69924,-0.2852,0.65377,8.4294e-10,112,8,7.1509,4.3344,-6
1.0226e-06,-0.6578,-0.38713,0.61503,8.4865e-10,112,8,7.1769,4.3747,-5.9324
2.8489e-08,0.53927,0.23751,-0.74345,9.2117e-09,10,9,6.8411,6.9897,-6
5.5173e-08,0.54623,0.24197,-0.73509,9.0342e-09,10,9,6.8419,7.0122,-5.9871
5.5173e-08,0.55157,0.21385,-0.73751,9.0342e-09,10,9,6.8419,7.0536,-5.9871
5.5173e-08,0.44453,0.23191,-0.77353,9.0342e-09,10,9,6.8419,7.1697,-5.9871
1.9864e-07,0.72833,0.50047,-0.3574,8.811e-09,10,9,6.8482,7.2483,-5.9324
1.9864e-07,0.70827,0.54538,-0.37986,8.811e-09,10,9,6.8482,7.2483,-5.8753
1.9864e-07,0.61791,0.59649,-0.40992,8.811e-09,10,9,6.8482,7.2483,-5.7742
1.7877e-07,0.51512,0.72716,-0.41254,8.839e-09,10,9,6.8367,7.2962,-5.7577
1.8831e-07,0.43349,0.28717,-0.85137,8.7141e-09,10,9,6.8266,7.3273,-5.749
1.8831e-07,0.43442,0.28557,-0.85014,8.7141e-09,10,9,6.8266,7.3294,-5.749
1.8831e-07,0.417,0.26977,-0.8637,8.7141e-09,10,9,6.8266,7.4849,-5.749
1.8595e-07,0.42436,0.27315,-0.8544,8.7087e-09,10,9,6.8257,7.4896,-5.7467
1.8573e-07,0.41078,0.27259,-0.86999,8.7063e-09,10,9,6.8252,7.4917,-5.7458
1.8573e-07,0.38348,0.37639,-0.84319,8.7063e-09,10,9,6.6733,7.4917,-5.7458
1.8573e-07,0.38271,0.37154,-0.84494,8.7063e-09,10,9,6.6664,7.4917,-5.7458
4.1371e-07,-0.60204,-0.57497,0.55403,1.547e-09,114,10,5.5666,7.4849,-5.9947
3.9438e-07,-0.60204,-0.57497,0.55403,1.4992e-09,114,10,5.5791,7.5319,-5.9324
2.7354e-07,-0.68487,-0.28901,0.6689,1.1083e-09,118,11,9.206,1.8815,-5.9133
2.7719e-07,-0.68487,-0.28901,0.6689,1.1337e-09,118,11,9.1883,1.8792,-5.9324
3.2786e-07,-0.66464,-0.34214,0.66422,9.0002e-10,119,12,9.0473,2.5612,-5.8973
3.1378e-07,-0.66464,-0.34214,0.66422,9.5734e-10,119,12,9.0146,2.5565,-5.9324
3.3825e-07,-0.5898,0.57361,0.56843,1.1342e-09,131,13,4.6691,-8.7511,-5.616
3.3941e-07,-0.5898,0.57361,0.56843,1.1369e-09,131,13,4.6708,-8.7455,-5.6199
3.2492e-07,-0.7178,0.60953,0.32778,1.3618e-09,132,14,4.9576,-8.4657,-5.616
3.3893e-07,-0.72923,0.38909,0.50787,1.3857e-09,132,14,4.9592,-8.4303,-5.65
3.2492e-07,-0.7094,0.60203,0.35961,1.3618e-09,132,14,4.9576,-8.4657,-5.5392
3.3893e-07,-0.68699,0.25646,0.67778,1.3857e-09,132,14,4.9592,-8.3457,-5.65
3.2492e-07,-0.65004,0.65287,0.3881,1.3618e-09,132,14,4.9576,-8.4657,-5.4578
3.3893e-07,-0.67859,0.30206,0.66953,1.3857e-09,132,14,4.9592,-8.2728,-5.65
3.1536e-07,-0.62309,0.65244,0.41096,1.2945e-09,132,14,4.9472,-8.5037,-5.4312
3.3457e-07,-0.6741,0.35904,0.62301,1.4721e-09,132,14,4.9814,-8.2596,-5.6404
3.1692e-07,-0.66356,0.59589,0.41709,1.2565e-09,132,14,4.9329,-8.5175,-5.431
3.2474e-07,-0.48983,0.6413,0.57208,1.6537e-09,132,14,5.0428,-8.1891,-5.6523
3.154e-07,-0.66743,0.54542,0.45817,1.2132e-09,132,14,4.9205,-8.5291,-5.4325
3.2787e-07,-0.50988,0.64097,0.55517,1.7162e-09,132,14,5.0488,-8.1637,-5.6711
3.3767e-07,-0.37099,0.6781,0.57849,1.7633e-09,132,14,5.0446,-8.1152,-5.724
5.1477e-07,-0.75706,-0.29717,-0.1171,1.122e-09,133,15,5.9097,-6.9322,-5.6586
5.3938e-07,-0.64656,-0.48159,-0.40869,7.2742e-10,133,15,5.8857,-6.9494,-5.616
4.9468e-07,-0.85541,0.1319,-0.13137,1.6702e-09,133,15,5.9294,-6.8546,-5.757
4.6285e-07,-0.82748,0.26031,-0.46766,2.7837e-09,134,16,6.2462,-6.5394,-5.7524
4.6842e-07,-0.68777,0.631,-0.27912,2.147e-09,134,16,6.1903,-6.6051,-5.7621
4.6285e-07,-0.83671,0.17492,-0.47707,2.7837e-09,134,16,6.2462,-6.4947,-5.7524
4.6285e-07,-0.85951,-0.002711,-0.47877,2.7837e-09,134,16,6.2462,-6.3818,-5.7524
6.3716e-07,-0.70308,-0.0015301,-0.71111,8.0569e-10,134,16,6.1903,-6.2669,-5.6973
4.4814e-07,-0.78151,-0.078295,0.61374,1.8289e-09,135,17,9.5235,0.72746,-5.7636
4.372e-07,-0.78256,-0.073884,0.61465,1.8552e-09,135,17,9.5176,0.74147,-5.7685
4.2481e-07,-0.90915,-0.068815,0.35167,1.8878e-09,135,17,9.5108,0.75799,-5.7742
7.3041e-07,-0.73198,0.35963,0.57022,1.4999e-09,136,18,9.5209,0.91495,-5.7742
7.4862e-07,-0.72919,0.37799,0.56777,1.4724e-09,136,18,9.5235,0.9172,-5.7724
3.3061e-07,-0.65369,-0.39021,0.64841,8.5012e-10,137,19,9.206,2.3846,-5.765
3.322e-07,-0.65369,-0.39021,0.64841,8.6555e-10,137,19,9.1977,2.3833,-5.7742
1.2153e-08,0.73926,0.49928,-0.28826,8.35e-09,10,20,6.6012,7.9083,-5.5159
1.2153e-08,0.70763,0.49661,-0.32066,8.35e-09,10,20,6.6012,7.9083,-5.4578
1.2153e-08,0.67578,0.53653,-0.41765,8.35e-09,10,20,6.6012,7.9083,-5.616
3.182e-07,-0.83998,-0.16059,0.10403,1.7537e-09,147,21,5.293,-8.2301,-5.3222
3.1664e-07,-0.8296,-0.1801,0.074274,1.6956e-09,147,21,5.2904,-8.2495,-5.2996
3.3687e-07,-0.88761,0.22497,-0.07581,1.9552e-09,147,21,5.302,-8.1152,-5.4476
3.7118e-07,-0.62634,0.62025,-0.44671,9.6545e-10,152,22,4.9556,-8.7455,-5.1026
3.5612e-07,-0.64652,0.64024,-0.36178,8.9497e-10,152,22,4.9205,-8.7882,-5.1097
3.5757e-07,-0.6299,0.62589,-0.43297,1.5051e-09,153,23,5.2793,-8.4303,-5.108
3.426e-07,-0.64442,0.64032,-0.36382,1.3093e-09,153,23,5.2379,-8.4745,-5.1104
4.1649e-07,-0.76667,-0.13597,0.62112,1.5447e-09,154,24,9.6747,2.3132,-5.1353
4.2119e-07,-0.76469,-0.14667,0.61951,1.5322e-09,154,24,9.6822,2.2987,-5.13
4.138e-07,-0.76562,-0.13009,0.6228,1.5635e-09,154,24,9.6686,2.3179,-5.1414
3.2377e-07,0.84447,-0.38048,-0.37694,1.5437e-08,161,25,8.605,-6.0651,-3.4012
3.3887e-07,0.85356,-0.35983,-0.37573,1.5773e-08,161,25,8.632,-5.9091,-3.4864
3.2367e-07,0.84437,-0.3807,-0.37694,1.5434e-08,161,25,8.6047,-6.0667,-3.4004
3.3677e-07,0.86221,-0.34687,-0.36903,1.5937e-08,161,25,8.6654,-5.7856,-3.5253
3.2287e-07,0.84419,-0.38123,-0.37682,1.5428e-08,161,25,8.6043,-6.0705,-3.3974
3.5344e-07,0.85831,-0.35102,-0.37417,1.6405e-08,161,25,8.6794,-5.7524,-3.5238
2.8177e-07,0.842,-0.39632,-0.36597,1.5313e-08,161,25,8.5893,-6.2243,-3.2686
3.5394e-07,0.85556,-0.35247,-0.37881,1.6418e-08,161,25,8.6798,-5.7515,-3.5237
2.7232e-07,0.84522,-0.39584,-0.359,1.5282e-08,161,25,8.5871,-6.2528,-3.243
4.069e-07,0.83994,-0.37118,-0.39588,1.7966e-08,161,25,8.729,-5.662,-3.4927
2.436e-07,0.84112,-0.40604,-0.35722,1.5296e-08,161,25,8.5806,-6.3325,-3.165
4.0702e-07,0.83435,-0.38106,-0.3982,1.7988e-08,161,25,8.7298,-5.6606,-3.4923
2.2486e-07,0.83912,-0.41361,-0.35321,1.5283e-08,161,25,8.5771,-6.3818,-3.1165
3.9443e-07,0.83686,-0.38106,-0.39268,1.774e-08,161,25,8.7542,-5.594,-3.5052
2.1065e-07,0.84661,-0.41055,-0.33854,1.5245e-08,161,25,8.5751,-6.4132,-3.0848
3.6824e-07,0.84697,-0.36577,-0.38578,1.7085e-08,161,25,8.8016,-5.4843,-3.5113
1.5282e-07,0.83864,-0.42823,-0.33659,1.5308e-08,161,25,8.5729,-6.5256,-2.9446
3.9134e-07,0.84788,-0.36588,-0.38362,1.7484e-08,161,25,8.8235,-5.4364,-3.5048
1.456e-07,0.82957,-0.44394,-0.33863,1.5308e-08,161,25,8.5728,-6.5394,-2.9273
4.3925e-07,0.84952,-0.36209,-0.38356,1.8166e-08,161,25,8.8644,-5.3394,-3.4986
